key	message
app	Verbatim
claves	Franglish : claves
hello	Salut "%s"
Form	Forme
Occs	Occurrences
Lem	Lemme
nostop	Full words
pos.l	art.
pos.n	nom
pos.a	adj.
pos.p	pron.
pos.v	verbe
pos.d	adv.
pos.r	adp.
pos.c	conj.
pos.i	intj.
pos.u	punct.
pos.x	irr.
pos.-	?
search.indoc	Look inside this document
conc.noq	No word entered,  no document found.
conc.nowords	%s : Word not found.
conc.lem	%s occurences found for the lemma : « %s »
conc.lems	%s occurences found for the lemmata: « %s »
conc.orth	%s occurences found for inflexion: « %s »
conc.orths	%s occurences found for inflexions: « %s »
doc.notfound	<p>No document found for this cts identifier: "%s"</p>\n
